"ID","Place","DecLatitude","DecLongitude","Source","ModernName","Alternative.Name","Near","Ocean","Spanish","Dutch","French","Notes"
"841","Kingston","17.97","-76.8","Times Atlas of the World","Kingston, Jamaica","","","","","",NA,""
"842","Kinsale","51.6","-8.53","Lloyds Maritime Atlas","Old Head of Kinsale","","","","","",NA,""
"843","Kinsale, S Ireland","51.6","-8.53","Lloyds Maritime Atlas","Old Head of Kinsale","","","","","",NA,""
"844","Klein Kaap Mizurado","6.33","-10.83","NNM","Mesurado","","","","","",NA,""
"845","Klijn Fortuijn","-5.92","104.47","","voor de kust van Sumatra","","","","","",NA,""
"846","Komenda","5.05","-1.5","Africa Pilot Vol 1. # 1","Komenda Point","","","","","",NA,""
"847","Kraccatau","-6.18","105.43","","","","","","","",NA,""
"848","Krakatau (Cracatoa)","-6.18","105.43","","","","","","","",NA,""
"849","Kuria Muria isles, Oman (Juzur al Halan)","17.5","56","","","","","","","",NA,""
"850","La Coruna","43.3667","-8.4","Times Atlas of the World","La Coruna, Spain","","","","","",NA,""
"851","La Darsena o Poza de los Martinez","-47.7333","-65.9333","Times Atlas of the World","Probably Deseado, Argentina","","","","","",NA,""
"852","La Guayra","10.63","-66.92","Times Atlas of the World","La Guaira, Venezuela","","","","","",NA,""
"853","La Habana","23.1167","-82.4167","Times Atlas of the World","Habana, Cuba","Havana","","","","",NA,""
"854","La Hou","5.15","-5.017","Times Atlas of the World","Grand Lahou, Ivory Coast, Africa","","","","","",NA,""
"855","Lagos","37.0833","-8.6667","Times Atlas of the World","Lagos, Portugal","","","","","",NA,""
"856","Laguaijra","10.63","-66.92","Times Atlas of the World","La Guaira, Venezuela","","","","","",NA,""
"857","Laguarija","10.63","-66.92","Times Atlas of the World","La Guaira, Venezuela","","","","","",NA,""
"858","Lagullas","-34.83","20","","Cape Agulhas","","Southermost tip of Africa","South Atlantic","","",NA,""
"859","Lamniford Harbour",NA,NA,"","","","Iceland","North Atlantic","","",NA,""
"860","Lance Cove","52.6","-55.83","Pilot #50","Lance Cove, Newfoundland, Canada","","Northern Newfoundland","North Atlantic","","",NA,""
"861","Lands End","50.05","-5.73","","Land's End, Cornwall","","","","","",NA,""
"862","Langle","47.75","142.0667","Times Atlas of the World","Tomari, Sakhalin, Russia","","","","","",NA,""
"863","Lanzarote","27","-13.6667","Times Atllas of the World","Lanzarote, Canary Islands, Spain","","","","","",NA,""
"864","Las Aguilas","37.4167","-1.5833","Times Atlas of the World","Aguilas, Spain","","","","","",NA,""
"865","Le Maire Strait","-54.7","-64.75","Times Atlas of the World","Est. De Le Maire, Tierra del Fuego","","Between Tierra del Fuego and Staten Island","South Atlantic","","",NA,""
"866","Light house","42.4","-70.93","East Coast of the US vol. I. Pilot #68","Spectacle Island is assumed","","","","","",NA,""
"867","Lingen (Kepulauan Lingga), Indonesia","-0.23","104.62","","","","","","","",NA,""
"868","Lisbon","38.72","-9.13","","","","","","","",NA,""
"869","Lissabon","38.72","-9.13","","","","","","","",NA,""
"870","Little Burling","39.42","-9.5","West Coast of Spain and Portugal Pilot #67","Ilha Berlenga","","","","","",NA,""
"871","Livorno","43.55","10.3","Times Atlas of the World","Livorno, Italy","","","","","",NA,""
"872","Lizard","49.93","-5.22","","Lizard, Cornwall, U.K.","","","","","",NA,""
"873","Lizard Point","49.93","-5.22","","Lizard, Cornwall, U.K.","","","","","",NA,""
"874","Lizart","49.93","-5.22","","Lizard, Cornwall, U.K.","","","","","",NA,""
"875","Lobass isl, Peru (Lobos de Tierra)","-6.45","-80.87","","","","","","","",NA,""
"876","Londoij","51.167","-4.65","Lloyds Maritime Atlas","Lundy Island","","","","","",NA,""
"877","London","51.5","-0.17","Times Atlas of the World","London, England","","","","","",NA,""
"878","Long Key","22.62","-74.35","Clive Wilkinson","Long Cay (Bahama's)","","","","","",NA,""
"879","Lornboch","-8.75","116.3","Times Atlas of the World","Lombok, Indonesia","","East of Bali","Indian Ocean","","",NA,""
"880","Louisbourg","45.92","-59.95","Times Atlas of the World","Louisburg","","","","","",NA,""
"881","Low Island","7.05","93.5833","DavidRumsey.com","Probably Little Nicobar, Nicobar Islands, India","","Nicobar Islands","Indian Ocean","","",NA,""
"882","Lubang","14","120.5","http://www.geocities.com/lubangisland/","","","","","","",NA,""
"883","Lucipara","-5.5","127.5","Times Atlas of the World","kepulauan lucipara, indonesia","","","","","",NA,""
"884","Macao","22","113.55","vocab.pub.getty.edu","Macao","","Neart Canton and Hong Kong","Pacific","","",NA,""
"885","Macasser","-5.15","119.47","Times Atlas of the World","Ujung Pandang, Indonesia","","","","","",NA,""
"886","Madagascar","-20.28","44.28","","","","","","","",NA,""
"887","Madagascar  (St Augustine)","-23.6","43.72","","St Augustine's Bay, Madagascar","","","","","",NA,""
"888","Madagascar Bay","-16","50","Times Atlas of the World","Antongil bay, Madagascar?","","","","","",NA,""
"889","Madagascar east coast","-18","44","","","","","","","",NA,""
"890","Madagascar W coast (Toliara)","-23.33","43.68","","","","","","","",NA,""
"891","Madagascar, south tip","-26","45.2","","","","","","","",NA,"Estimate"
"892","Maddelene baaij","79.7","11","Times Atlas of the World","","","","","","",NA,""
"893","Madeira","32.63","-16.9","","","","","","","",NA,""
"894","Madeira west end","32.63","-16.9","","","","","","","",NA,""
"895","Madera","32.63","-16.9","","","","","","","",NA,""
"896","Maderia","32.63","-16.9","","","","","","","",NA,""
"897","Madiera","32.63","-16.9","","","","","","","",NA,""
"898","Madras","13.07","80.27","","Madras, India (fort St George)","","","","","",NA,""
"899","Madras Road","13.07","80.27","","Madras, India (fort St George)","","","","","",NA,""
"900","Magdalena","79.7","11","Times Atlas of the World","Magdalene baaij","","","North Atlantic","","",NA,""
"901","Mahe Road","-4.6","56","","","","Seychelles","Indian Ocean","","",NA,""
"902","Maisi","20.25","-74.17","Clive Wilkinson","East end of Cuba","","","","","",NA,""
"903","Makasser","-5.15","119.47","Times Atlas of the World","Ujung Pandang, Indonesia","","","","","",NA,""
"904","Malacca Town","2.23","102.23","Times Atlas of the World","Melaka, Malaysia","","","","","",NA,""
"905","Malaga","36.7167","4.4167","Times Atlas of the World","Malaga, Spain","","","","","",NA,""
"906","Malakka","2.23","102.23","Times Atlas of the World","Melaka, Malaysia","","","","","",NA,""
"907","Maldives (general est.)","5","73","","","","","","","",NA,""
"908","Mallas isl (Maldives)","4.75","73.25","","","","","","","",NA,""
"909","Manapaar","8.3833","78.0833","Times Atlas of the World","Probably Kulasakarappattinam","","","","","",NA,""
"910","Maneter","-5.95","106.53","Atlas van Tropisch Nederland 1938","Menscheter","","","","","",NA,""
"911","Mangalore","12.87","74.87","","","","","","","",NA,""
"912","Mangalore (Bassalore), India","12.87","74.87","","","","","","","",NA,""
"913","Manila","14.58","120.98","","","","","","","",NA,""
"914","Manilla","14.58","120.98","","","","","","","",NA,""
"915","Manilla, Philippines","14.58","120.98","","","","","","","",NA,""
"916","Mannan","44.68","-66.78","Lloyds Maritime Atlas","Grand Manan Island","","","","","",NA,""
"917","Mansel Bay","-34.83","20.02","Lloyds Maritime Atlas","Mossel Bay","","","","","Mossel Baai",NA,""
"918","Mansfield Isl HB","62.08","-80","","","","","","","",NA,""
"919","Mapulipatam","16.17","81.25","Bay of Bengal Pilot #21","Masulipatam (Machilipatnam) Roads","","","","","",NA,""
"920","Maranon","-2.52","-44.29","Lloyds Maritime Atlas","","","","","Sao Luiz de Maranhao","",NA,""
"921","MARAÑÓN","-2.52","-44.29","Lloyds Maritime Atlas","","","","","Sao Luiz de Maranhao","",NA,""
"922","Marcera","20.27","58.63","Lloyds Maritime Atlas","","","","","","",NA,""
"923","Marcera, N end","20.28","58.63","Lloyds Maritime Atlas","","","","","","",NA,""
"924","Maregat","51.4","1.4","Times Atlas of the World","Margate, Kent, England","","","","","",NA,""
"925","Mareira Road","32.63","-16.88","vocab.pub.getty.edu","Funchial, Madeira","","","","","",NA,""
"926","Margate","51.4","1.4","Times Atlas of the World","Margate, Kent, England","","","","","",NA,""
"927","Marseille","43.3","5.3667","Times Atlas of the World","Marseille, France","","","","","",NA,""
"928","Marstrand","57.89","11.59","Lloyds Maritime Atlas","Marstrand","","Gothenburg","N. Atlantic","","",NA,""
"929","Marteen Point","24","-81.32","http://members.tripod.com/~dc3mf/Caysal.htm","believed to be the Water Cays (24°00'N. 80°19'W)","","","","","",NA,""
"930","Marteen Point2","23.1666666666667","-81.5","","","","Could be Mantancas Point, east side of bay of Mantanzas","North Atlantic","Pt de Guanos","",NA,""
"931","Martin Vaz, S Atlantic (I. do Norte)","-20.5","-28.5","","","","","","","",NA,""
"932","Marvile Bay Madagascar","17.67","49.52","","Mavile (is maybe Foule Pointe (Marafocotra?) which is just N of 'Mahavelona')","","","","","",NA,""
"933","Marvile Madagascar","17.67","49.52","pilot #39, p.79","Mavile (is maybe Foule Pointe (Marafocotra?) which is just N of 'Mahavelona')","","","","","",NA,""
"934","Mascareigne island(s)= Mauritius+Reunion","20.5","56","","","","","","","",NA,""
"935","Masirah Island, Oman","20.17","58.25","","","","","","","",NA,""
"936","Masulipatnam","15.73","80.02","","","","","","","",NA,""
"937","Matanzas","23.07","-81.58","","Matanzas WI (ca. 5 E of Cp Antonio)","","","","","",NA,""
"938","Matanze","23.07","-81.58","","Matanzas WI (ca. 5 E of Cp Antonio)","","","","","",NA,""
"939","Matanzes","23.07","-81.58","","","","","","","",NA,""
"940","Matanzes (Cuba)","23.07","-81.58","","Matanzas WI (ca. 5 E of Cp Antonio)","","","","","",NA,""
"941","Matapica kreek","5.92","-54.87","Davidrumsey.com","Matapica kreek, Surinam","","","","","",NA,""
"942","Mauritius","-20.17","57.5","","","","","","","",NA,""
"943","Mavile Bay","17.67","49.52","pilot #39, p.79","Mavile (is maybe Foule Pointe (Marafocotra?) which is just N of 'Mahavelona')","","","","","",NA,""
"944","Mayaguana","22.35","-73","","Mayaguana Island","","Bahama Islands, between Crooked Island and Caicos Island, directly NE of Windward Passage (between Cuba and Haiti)","North Atlantic","","",NA,""
"945","Mayaguana isl, WI (near Heneago)","22.35","-73","","","","","","","",NA,""
"946","Mayo","15.25","-23.17","","Porto Ingles, Azores","","","","","",NA,""
"947","Mazulipatnam","15.73","80.02","","","","","","","",NA,""
"948","Meekness","62.12","-7.62","Times Atlas of the World","Mykines, Faeroes, Denmark","","","","","",NA,""
"949","Meeuwebaai","-6.7","105.3","Pilot #36","Teluk Peutjang, Java, Indonesia","","","","","",NA,""
"950","Melilla","35.3333","-3","Times Atlas of the World","Melilla, Spain","","","","","",NA,""
"951","Menado","1.53","124.92","Times Atlas of the World","Manado, Celebs, Indonesia","","","","","",NA,""
"952","Meroic","7","93.6","","","","","","","",NA,"Southern Nicobar Island"
"953","Mesurado","6.33","-10.83","NNM","Mesurado, C, Liberia","","","","","",NA,""
"954","Mettreciff (Mega Island) (Pulan)","-3.92","100.92","","","","","","","",NA,""
"955","Middelburg (NL)","51.5","3.6","Times Atl.as of the World","Middelburg, Netherlands","","","","","",NA,""
"956","Middelburg Eiland","0.85","103.57","Pilot #36","","","","","","",NA,""
"957","Mocha (Al Mukha), Yemen","13.32","43.25","","","","","","","",NA,""
"958","Mohelo (Moheli) island (near Anjouan)","-12.25","43.75","","","","","","","",NA,""
"959","Mohilla","-12.25","43.75","","","","","","","",NA,""
"960","Mohilla Island","-12.25","43.75","","","","","","","",NA,""
"961","Monomotapa","25.98","32.58","Pilot #3, p.128","Maputo??","","","","","",NA,""
"962","Monopin Hill","2.45","104.52","Pilot #30 China Sea","Pulau Aur(?)","","","","","",NA,""
"963","Monserrat","16.75","-62.23","Times Atlas of the World","Montserrat","","","","","",NA,""
"964","Montague Isle","60","147.65","Times Atlas of the World","Montague Island, Alaska, USA","","","","","",NA,""
"965","Monte Christo","19.8666666666667","71.65","West Indies Pilot, vol 1=70","","","","","","",NA,""
"966","Montecristi","19.8666666666667","71.65","West Indies Pilot, vol 1=70","","","","","","",NA,""
"967","Montecristo","19.8666666666667","71.65","West Indies Pilot, vol 1=70","","","","","","",NA,""
"968","Monterey","36.5833","-121.9167","Times Atlas of the World","Monterey, California, USA","","","","","",NA,""
"969","Montevideo","-34.92","-56.16","Times Atlas of the World","","","","","","",NA,""
"970","Montock Point","41.67","-71.85","East Coast of the US Pilot, Vol 1, #68","Montauk Point","","","","","",NA,""
"971","Montosa, Mexico (Pacific coast)","7.25","-82.5","","","","","","","",NA,""
"972","Montserat","16.7","-62.22","Lloyds Maritime Atlas","Montserrat","","","","","",NA,""
"973","Monzerado","6.33","-10.83","NMM","Cape Mesurado","","near Monrovia, Liberia","North Atlantic","","",NA,""
"974","Morondava, Madagascar","-20.28","44.28","","","","","","","",NA,""
"975","Motkreek (Suriname)","5.9","-54.73","Davidrumsey.com","","","","","","",NA,""
"976","Mount Brabant","-20.4666666666667","57.3","","","","Mauritius","Indian Ocean","","",NA,""
"977","Mount Brabant, Mauritius","-20.4666666666667","57.3","","","","Mauritius","Indian Ocean","","",NA,""
"978","Mount Dillo","12.25",NA,"","","","Could be Mt. Diavolo on Middle Andaman.","Indian Ocean","","",NA,""
"979","Mount Felix, Arabia (near Guardafui)","11.8","51.37","","","","","","","",NA,""
"980","Mount Formosa","23.9","121","","","","Malaya, or Batan north-philipines","","","",NA,""
"981","Mounto Christo","19.8666666666667","71.65","West Indies Pilot, vol 1=70","Monte Christi","","North side of Dominican Republic?","North Atlantic","","",NA,""
"982","Mountsbaai","50.085","-5.5","Times Atlas of the World","Mounts Bay, Cornwall, England","","","","","",NA,""
"983","Mozambique","-15","40.73","","","","","","","",NA,""
"984","Muscat","23.62","58.58","","","","","","","",NA,""
"985","Muscat (Masqat), Oman","23.62","58.58","","","","","","","",NA,""
"986","Muscatte","23.62","58.58","","","","","","","",NA,""
"987","N Cacos","21.8333","-71.6667","","Caicos Islands","","","","","",NA,""
"988","Nagapalnam","10.75","79.82","Lloyds Maritime Atlas","Nagapattinam","","","","","",NA,""
"989","Nagapatnam","10.75","79.82","Lloyds Maritime Atlas","Nagapattinam","","","","","",NA,""
"990","Nagasaki","32.75","129.87","Times Atlas of the World","Nagasaki, Japan","","","","","",NA,""
"991","Nantucket","41.5","-70","","Nantucket Island","","SE Massachusetts","North Atlantic","","",NA,""
"992","Narcondam, E of Andaman Isls.","13.4","94.25","","","","","","","",NA,""
"993","Narwick","68.43","17.42","Times Atlas of the World","Narvick, Norway","","","","","",NA,""
"994","Natal","-29.88","31.02","Times Atlas of the World","Durban","","","Indian Ocean","","",NA,""
"995","Navassa","18.4","75.008","","","","island in Jamaica Channel, between Jamaica and Haiti","North Atlantic","","",NA,""
"996","Negapatam","10.75","79.82","Lloyds Maritime Atlas","Nagappattinam","Nicopatam","Trincomalee","Indian Ocean","","",NA,""
"997","Negapatam Fort","10.75","79.82","Lloyds Maritime Atlas","Nagapattinam","","","","","",NA,""
"998","Negrais Burma","15.95","94.2","","","","","","","",NA,""
"999","Never Sunk",NA,"-74.5","","","","","","","",NA,"estimate"
"1000","Nevis","17.183","-62.57","Times Atlas of the World","Nevis Peak","","","","","",NA,""
"1001","New Holland, W coast (Aus)","-13.5","130.1","","","","","","","",NA,""
"1002","New York","40.58","-73.97","","","","","","","",NA,""
"1003","New York, NY (Coney Island)","40.58","-73.97","","","","","","","",NA,""
"1004","Newport Rhode Island","41.5667","-71.12","","","","","","","",NA,""
"1005","Nicobar Island","7","94","","","","","","","",NA,""
"1006","Nicobar Islands","7","94","","","","","","","",NA,""
"1007","Nicopatam","10.75","79.82","Lloyds Maritime Atlas","Nagappattinam","Negapatam","Trincomalee","Indian Ocean","","",NA,""
"1008","Nieuwe Diep","52.97","4.77","Times Atlas of the World","Den Helder","","","","","",NA,""
"1009","Nieuwe Fort Amsterdam","5.88","-55.08","Times Atlas of the World","Nieuw Amsterdam, Suriname","","","","","",NA,""
"1010","Nieuwediep","52.97","4.77","Times Atlas of the World","Den Helder","","","","","",NA,""
"1011","Nieuwendiep","52.97","4.77","Times Atlas of the World","Den Helder","","","","","",NA,""
"1012","NL_0_01",NA,"-22","","","","","","","",NA,""
"1013","NL_0_02",NA,"-19","","","","","","","",NA,""
"1014","Noahiwa","-8.93","-140","Times Atlas of the World","Nuku Hiva, isld Marquesas","","","","","",NA,""
"1015","Noordbaaij","78.5","15","Times Atlas of the World","Nordfjorden, Svalbard?","","","","","",NA,""
"1016","Norfolk","36.9","-76.3","Times Atlas of the World","Norfolk, Virginia, USA","","","","","",NA,""
"1017","North Cape of Maquilon","47.1333333333333","56.3666666666667","Times Atlas of the World","Cap Miquelon","","Cabot Strait, Newfoundland","North Atlantic","","",NA,""
"1018","North Foreland","51.61","1.75","","","","","","","",NA,""
"1019","Nottingham isl. HB","63.08","-78","","","","","","","",NA,""
"1020","Nutka","49.5667","-126.65","Times Atlas of the World","Nootka, Vancouver Island, Brittish Columbia, Canada","","","","","",NA,""
"1021","NW end of Bahamas","26.7","-79.02","Times Atlas of the World","West End Point on Grand Bahama","","","","","",NA,""
"1022","Ocracoke","35","-76","Clive Wilkinson","On the Outer Banks between Cape Hattaras and Cape Lookout","","","","","",NA,""
"1023","Oedjong Panka","-6.87","112.4","Pilot #34","Ujung Pangka, Indonesia","","","","","",NA,""
"1024","Old Head","51.6","-8.53","","","","Cork","North Atlantic","","",NA,""
"1025","Old Head of Kingsale","51.6","-8.53","","","","","","","",NA,""
"1026","Old Head of Kinsale","51.6","-8.53","","","","","","","",NA,""
"1027","Old Road","17.33","-62.8","Times Atlas of the World","Old Road Town, St. Kitts, W.I.","","","","","",NA,""
"1028","Old Road ? St Christoffel","17.33","-62.8","Times Atlas of the World","Old Road Town, St Kitts, W.I.","","","","","",NA,""
"1029","Olraad","17.33","-62.8","Times Atlas of the World","Old Road Town, St. Kitts, W.I.","","","","","",NA,""
"1030","Olrad","17.33","-62.8","Times Atlas of the World","Old Road Town, St. Kitts, W.I.","","","","","",NA,""
"1031","Omorero","4.55","48.02","Africa Pilot, vol III, #3","Ras Assuad???","","","","","",NA,""
"1032","Onrust","-6.03","106.72","Atlas van Tropisch Nederland 1938","","","","","","",NA,""
"1033","Oporto","41.15","-8.62","Lloyds Maritime Atlas","","","","","","",NA,""
"1034","Orkney","59","-3.5","","","","","","","",NA,""
"1035","Orkneys (general est.)","59","-3.5","","","","","","","",NA,""
"1036","Osnaburg Island","-17.9166666666667","-148","","","Maitea","Society Islands","Pacific","","",NA,""
"1037","Oude Schildt","53.03","4.85","Times Atlas of the World","Odeschild, Texel, the Netherlands","","","","","",NA,""
"1038","Ouidah","6.38","2.13","Times Atlas of the World","Ouidah, Benin","","","","","",NA,""
"1039","Owhyhee, Kararkakooa Bay","19.5167","-155.9333","Times Atlas of the World","Kealakekua Bay, Hawaii","","","","","",NA,""
"1040","P Panjang","-5.93","106.16","Atlas van Tropisch Nederland 1938","Panjang Island","","","","","",NA,""
"1041","P. Babie","-5.8","106.28","Atlas van Tropisch Nederland 1938","Babi Island","","","","","",NA,""
"1042","P. Panjangh","-5.93","106.16","Atlas van Tropisch Nederland 1938","Panjang Island","","","","","",NA,""
"1043","P. Pedang","-1","100.35","Times Atlas of the World","Padang, Sumatra, Indonesia","","","","","",NA,""
"1044","Padang","-1","100.35","Times Atlas of the World","Padang, Sumatra, Indonesia","","","","","",NA,""
"1045","Paita","-5.1833","-81.15","Times Atlas of the World","Paita, Peru","","","","","",NA,""
"1046","Pallas Islands","7.5","134.55","","Palau","Pelew Island","East of Phillipines","Pacific","","",NA,""
"1047","Palliacatte op de Coromandelkust","13.43","80.33","Davidrumsey.com","Pulicat, Tamil Nadu, India","","","","","",NA,""
"1048","Palma","28.68","-17.77","","Santa Cruz, Canaries","","","","","",NA,""
"1049","Palmiras","20.77","86.98","Bay of Bengal Pilot #21","Palmyras Point","","","","","",NA,""
"1050","Palmiras (meridian Distance)","20.77","86.98","Bay of Bengal Pilot #21","Palmyras Point","","","","","",NA,""
"1051","Palos","7.5","134.55","","Palau Islands","Pelew Island","East of Phillipines","Pacific","","",NA,""
"1052","Pampus","52.38","4.53","De grote Bosatlas, 1968, 47e druk","Pampus, the Netherlands","","","","","",NA,""
"1053","Pan of Matanzas","23.07","-81.58","","","","","","","",NA,""
"1054","Papenberg","32.75","129.82","Internet. Pilot 42A","Takaboko Shima, Nagasaki, Japan","","","","","",NA,""
"1055","Pappy Island","64.6","-14.18","Times Atlas of the World","Papey Island, Iceland","","Iceland","North Atlantic","","",NA,""
"1056","Papy","64.6","-14.18","Times Atlas of the World","Papey. Iceland","","","","","",NA,""
"1057","Paramaribo","5.87","-55.23","Times Atlas of the World","Paramaribo, Suriname","","","","","",NA,""
"1058","Parijs","48.87","2.33","","","","","","","",NA,""
"1059","Paris","48.87","2.33","","","","","","","",NA,""
"1060","Parsons Drake","39.39","-9.47","West Coast of Spain and Portugal Pilot #67","Estimated between Ilha Berlenga and Cabo Carvoeiro","","","","","",NA,""
"1061","Pasgeroeang","-7.63","112.73","Times Atlas of the World","Pasuruan, Java, Indonesia","","","","","",NA,""
"1062","Peak of Teneriffe","28.28","-16.65","","","","","","","",NA,""
"1063","Peak of Tenerrife","28.28","-16.65","","","","","","","",NA,""
"1064","Pedro Blanco","22.32","115.12","Pilot 30","Tai Sing Chau, China","","","","","",NA,""
"1065","Pedro Branca","22.32","115.12","Pilot 30","Tai Sing Chau, China","","","","","",NA,""
"1066","Pedro Branco","22.3333333333333","115.216666666667","","","","Hong Kong","Pacific","","",NA,"Lat/Long according to East India Directions 1801"
"1067","Peek Island, Mindano","5.67","120","","","","","","","",NA,""
"1068","Penguin Island, NFL","49.34","-53.62","Newfoundland and Labrador Pilot, #50","","","","","","",NA,""
"1069","Penguin Island, S Afr","-32.0833333333333","18.3","Pilot #2","Lamberts Bay","","Near Table Bay, South Africa","South Atlantic","","",NA,""
"1070","Pevel","14.9","-23.61","Internet","Cidade Velha, S. Tiago, Cape Verde Islands","","","","","",NA,""
"1071","Peverall Pt (St Albans Hd), England","50.57","-2.07","","","","","","","",NA,""
"1072","Pico","38.47","-28.3","Times Atlas of the World","Pico (Azores)","","Azores","North Atlantic","","",NA,""
"1073","Pico Teneriffe","28.28","-16.65","","","","","","","",NA,""
"1074","Pidgeon Island","14.02","74.32","Pilot #38, West Coast of India","Netrani or Pigeon Island, India","Pigeon Island","","Indian Ocean","","",NA,""
"1075","Pigeon Island, Laccadives, W India","16.5","74.5","","","","","","","",NA,""
"1076","Placentia Bay","46.8166666666667","54.2","","","","Southern Newfoundland","North Atlantic","","",NA,""
"1077","Plymouth","50.37","-4.15","Times Atlas of the World","","","","","","",NA,""
"1078","Poeloe Babij","-5.8","-106.28","Atlas van Tropisch Nederland 1938","Babi Island","","","","","",NA,""
"1079","Point Capanes","14.75","120.13","Pilot 31","Capones Point, Philippines","","","","","",NA,""
"1080","Point Cavalle","4.35","-7.5","Africa Pilot #1","Cavalla Point. Kavalli Point","","","","","",NA,""
"1081","Point de Galle","6","80.2","","","Gallo","Sri Lanka, south of Colombo","Indian Ocean","","",NA,""
"1082","Point De Gaule","6","80.2","","","","","","","",NA,""
"1083","Point Morant","17.9166666666667","76.1833333333333","","Point Morant","","eastern point of Jamaica","North Atlantic","","",NA,""
"1084","Point Nago","28.6","-16.16","Nieuwe Spiegel der Zeevaart + Africa Pilot #1","Punta de Anaga","Isolotes de Anaga","NE Teneriffe","North Atlantic","Punta de Nago","Kaap Anaga",NA,"confirmed by English Pilot 1713"
"1085","Point Negro","28.4166666666667","-17.75","","","","South end of La Palma ? best guess","North Atlantic","","",NA,"Estimated by the position of the Surprise Sept. 1750.  The ship is 28:10N and just west of the meridian of Madeira.  The only land bearing to the north (N8:00E) at that position is La Palma."
"1086","Point of St Hellena","-15.93","-5.73","","Jamestown","","","","","",NA,""
"1087","Point Palmira","20.77","86.98","Bay of Bengal Pilot #21","Palmyras Point","","","","","",NA,""
"1088","Point Palmiras","20.77","86.98","Bay of Bengal Pilot #21","Palmyras Point","","","","","",NA,""
"1089","Point Palmiras (Palmyras)","20.77","86.98","","","","","","","",NA,""
"1090","Point Palmiras, Sugar Loaf Hill","20.77","86.98","Bay of Bengal Pilot #21","Palmyras Point","","","","","",NA,""
"1091","Point Palmiris","20.77","86.98","Bay of Bengal Pilot #21","Palmyras Point","","","","","",NA,""
"1092","Point Pedro","18.45","78.2166666666667","","","","","Indian Ocean","","",NA,""
"1093","Point Possession","-52.5","-68.5","","","","Inside eastern entrance of Magellan Straits","Pacific","","",NA,""
"1094","Point St Felix","-22.4333324432373","43","ESTIMATE","","","","","","",NA,""
"1095","Pollilo","14.83","121.92","Times Atlas of the World","Polillo Island, Philippines","","","","","",NA,""
"1096","Polo Panjang","-5.93","106.16","Atlas van Tropisch Nederland 1938","Panjang Island","","","","","",NA,""
"1097","Poloc Babie","-5.8","106.28","Atlas van Tropisch Nederland 1938","Babi Island","","","","","",NA,""
"1098","Pondicherry","11.98","79.83","","","","","","","",NA,""
"1099","Pondicherry, India","11.98","79.83","","","","","","","",NA,""
"1100","Ponger","2","102.4","Davidrumsey.com","Probably near Muar, Malaysia","","","","","",NA,""
"1101","Ponnekayl","8.63333333333333","-78.1166666666667","Pilot #38, West Coast of India","Punnaikayal, Tuticorin, India","","","","","",NA,""
"1102","Ponte Vedra","42.4167","-8.65","Times Atlas of the World","Pontevedra, Spain","","","","","",NA,""
"1103","Popes Head","17.17","-61.6","West Indies Pilot #71","Popes Head Hills on Antigua","Popes Head Hills","Antigua","North Atlantic","","",NA,"Speedwell May 1750 has it bearing south 21 leagues and the ship is approx. 17:10N, 60:54W. Which might place it on Desirada east of Guadaloupe"
"1104","Porcatto (Mattancheri), India","9.85","76.27","","","","","","","",NA,""
"1105","Port Banks","56.8333","-135.3333","Times Atlas of the World","Probably Goddard, Alaska","","","","","",NA,""
"1106","Port Dauphin","-25.03","47","","Tolanaro, E Madagascar","","","","","",NA,""
"1107","Port Dauphin Madagascar","-25.03","47","","Tolanaro, E Madagascar","","","","","",NA,""
"1108","Port des Francais","58.6","-137.65","Times Atlas of the World","Lituya Bay, Alaska, USA","","","","","",NA,""
"1109","Port Desire","-47.5","-66","","Deseado","","Coast of Patagonia, south of Cape Blanco","South Atlantic","","",NA,""
"1110","Port Egmont","-51.7","-57.85","","","","Falkland Islands","South Atlantic","","",NA,""
"1111","Port Espirito",NA,"-37","","","","","","","",NA,"estimate"
"1112","Port Jackson (Sydney)","-33.87","151.22","","","","","","","",NA,""
"1113","Port Louis","-20.17","57.5","","Port Louis, Mauritius","","","","","",NA,""
"1114","Port Louis, Mauritius","-20.17","57.5","Times Atlas of the World","Port Louis, Mauritius","","","","","",NA,""
"1115","Port Nelson, Bahamas","23.68","-74.85","","","","","","","",NA,""
"1116","Port Praya","14.92","-23.52","","Porto Praia, Cape Verdes","","","","","",NA,""
"1117","Port St Mary (Nosy Boraha), Madagascar","-16.93","49.93","","","","","","","",NA,""
"1118","Port St Stephens, Chili (Isla Byron??)","-47.75","-75.18","","","","","","","",NA,""
"1119","Port Sud Est, Mauritius","-20.4","57.667","","","","","","","",NA,""
"1120","Porte Cabello","10.48","-68.03","Times Atlas of the World","Puerto Cabello, Venezuela","","","","","",NA,""
"1121","Porte Praay","14.92","-23.52","","Porto Praia, Cape Verdes","","","","","",NA,""
"1122","Porte Pradie","14.92","-23.52","","Porto Praia, Cape Verdes","","","","","",NA,""
"1123","Porte Praijo","14.92","-23.52","","Porto Praia, Cape Verdes","","","","","",NA,""
"1124","Portendic","18","-16.4","","","","","","","",NA,"Estimate"
"1125","Portland","50.52","-2.45","","","","","","","",NA,""
"1126","Portland Bill","50.52","-2.45","","","","","","","",NA,""
"1127","Porto Cabello","10.48","-68.03","Times Atlas of the World","Puerto Cabello, Venezuela","","","","","",NA,""
